"","motif","NumOfProbes","OR","lowerOR","upperOR"
"FOXA1_HUMAN.H10MO.A","FOXA1_HUMAN.H10MO.A",603,3.95151796233698,3.55513518456376,4.3920957702169
"FOXA2_HUMAN.H10MO.A","FOXA2_HUMAN.H10MO.A",578,3.80543415730348,3.42140394718462,4.23256924616819
"FOXB1_HUMAN.H10MO.D","FOXB1_HUMAN.H10MO.D",467,3.4905890648008,3.12266364712799,3.90186500890455
"FOXA3_HUMAN.H10MO.C","FOXA3_HUMAN.H10MO.C",615,3.38273745173745,3.04447308594836,3.75858558914562
"FOXC1_HUMAN.H10MO.C","FOXC1_HUMAN.H10MO.C",443,3.18971456146754,2.84909621603629,3.57105489325759
"FOXF2_HUMAN.H10MO.D","FOXF2_HUMAN.H10MO.D",519,3.11995046266006,2.79909465421591,3.47758546671208
"FOXJ2_HUMAN.H10MO.C","FOXJ2_HUMAN.H10MO.C",617,3.02216640055416,2.72019163653918,3.35766408143904
"FOXD1_HUMAN.H10MO.D","FOXD1_HUMAN.H10MO.D",365,2.83902322761469,2.51857800505448,3.20023952832121
"FOXO6_HUMAN.H10MO.D","FOXO6_HUMAN.H10MO.D",325,2.71212546295975,2.39438328541731,3.07203302480147
"FOXF1_HUMAN.H10MO.D","FOXF1_HUMAN.H10MO.D",595,2.62540503446668,2.36195658751808,2.91823805375094
"FOXP2_HUMAN.H10MO.A","FOXP2_HUMAN.H10MO.A",402,2.6230602323612,2.33558721456658,2.94591652997708
"FOXQ1_HUMAN.H10MO.C","FOXQ1_HUMAN.H10MO.C",401,2.45241338907134,2.18352865210329,2.7544092105698
"FOXD3_HUMAN.H10MO.D","FOXD3_HUMAN.H10MO.D",561,2.41262132967597,2.16836183744081,2.68439592502576
"EVX1_HUMAN.H10MO.D","EVX1_HUMAN.H10MO.D",521,2.40874194501258,2.16146045004178,2.68431363504746
"FOXO4_HUMAN.H10MO.C","FOXO4_HUMAN.H10MO.C",427,2.32888793619721,2.0780789951012,2.60996768272554
"FOXO3_HUMAN.H10MO.B","FOXO3_HUMAN.H10MO.B",523,2.22643424521079,1.99810164332835,2.48085950221741
"FOXL1_HUMAN.H10MO.D","FOXL1_HUMAN.H10MO.D",638,2.16247435427588,1.94735349797169,2.40135924872993
"FOXO1_HUMAN.H10MO.C","FOXO1_HUMAN.H10MO.C",647,2.15141193790825,1.93766217056919,2.38874113190457
"FOXD2_HUMAN.H10MO.D","FOXD2_HUMAN.H10MO.D",433,2.10107514583375,1.87573855819811,2.3534819120427
"FOXM1_HUMAN.H10MO.D","FOXM1_HUMAN.H10MO.D",496,2.001991104432,1.79440427592096,2.23359275053432
"FOXJ3_HUMAN.H10MO.A","FOXJ3_HUMAN.H10MO.A",601,1.9876670755236,1.78861994218614,2.20886523175608
"FOXG1_HUMAN.H10MO.D","FOXG1_HUMAN.H10MO.D",643,1.93451288286568,1.74224629206542,2.14799716378605
"TEF_HUMAN.H10MO.D","TEF_HUMAN.H10MO.D",243,1.98724694302525,1.72958404273012,2.28329489345285
"CPEB1_HUMAN.H10MO.D","CPEB1_HUMAN.H10MO.D",707,1.89520430529312,1.70777913544853,2.10319899350348
"HNF1A_HUMAN.H10MO.A","HNF1A_HUMAN.H10MO.A",250,1.94572049095453,1.69610387069338,2.23207333839329
"LMX1B_HUMAN.H10MO.D","LMX1B_HUMAN.H10MO.D",424,1.89409791999854,1.68986558906626,2.12301318741282
"FOXP3_HUMAN.H10MO.D","FOXP3_HUMAN.H10MO.D",315,1.91356884401516,1.68738799709968,2.17006742200337
"PO3F3_HUMAN.H10MO.D","PO3F3_HUMAN.H10MO.D",494,1.88237722585708,1.68704849144658,2.10032138281164
"NKX31_HUMAN.H10MO.C","NKX31_HUMAN.H10MO.C",309,1.89976802609156,1.67375480956164,2.15630063157521
"PO3F4_HUMAN.H10MO.D","PO3F4_HUMAN.H10MO.D",325,1.87478188035359,1.65551213371578,2.12309352938007
"HNF6_HUMAN.H10MO.C","HNF6_HUMAN.H10MO.C",280,1.88522283321387,1.65312004350455,2.14991351949037
"BATF_HUMAN.H10MO.S","BATF_HUMAN.H10MO.S",269,1.87942375340635,1.64469853696079,2.14764807378936
"BATF_HUMAN.H10MO.A","BATF_HUMAN.H10MO.A",253,1.88459271296341,1.64391081307204,2.16051239855135
"GATA6_HUMAN.H10MO.S","GATA6_HUMAN.H10MO.S",161,1.93200481164615,1.63807598880241,2.2786748708482
"DLX5_HUMAN.H10MO.D","DLX5_HUMAN.H10MO.D",296,1.8620223815691,1.63721723199014,2.11769536853075
"PO2F2_HUMAN.H10MO.D","PO2F2_HUMAN.H10MO.D",311,1.84805077702091,1.62869596998307,2.09694856338541
"HXD10_HUMAN.H10MO.D","HXD10_HUMAN.H10MO.D",357,1.82388797801257,1.61698522903077,2.05726514789052
"SRY_HUMAN.H10MO.B","SRY_HUMAN.H10MO.B",467,1.80466054690284,1.61492658960033,2.0166859041894
"LMX1A_HUMAN.H10MO.D","LMX1A_HUMAN.H10MO.D",462,1.79709993647092,1.60766076180313,2.00886173152696
"PO2F1_HUMAN.H10MO.B","PO2F1_HUMAN.H10MO.B",306,1.82252230483311,1.60501026513468,2.06951171825401
"PIT1_HUMAN.H10MO.C","PIT1_HUMAN.H10MO.C",301,1.82284517973856,1.60405988050805,2.07147163872941
"FOXJ3_HUMAN.H10MO.S","FOXJ3_HUMAN.H10MO.S",601,1.7810261603424,1.60270915374207,1.97918267105279
"ARI3A_HUMAN.H10MO.D","ARI3A_HUMAN.H10MO.D",571,1.77166102662779,1.59294894773868,1.97042271676539
"PO4F1_HUMAN.H10MO.D","PO4F1_HUMAN.H10MO.D",328,1.79545915333383,1.58613919258938,2.0324026960254
"PO3F2_HUMAN.H10MO.D","PO3F2_HUMAN.H10MO.D",312,1.79173993383318,1.57932529049123,2.03272372691125
"NKX61_HUMAN.H10MO.D","NKX61_HUMAN.H10MO.D",375,1.77786891712154,1.57925512978061,2.00146121222733
"FOSL1_HUMAN.H10MO.A","FOSL1_HUMAN.H10MO.A",260,1.80766795016085,1.57914258905252,2.06926432146911
"DMBX1_HUMAN.H10MO.D","DMBX1_HUMAN.H10MO.D",297,1.78357386343383,1.56852760535014,2.02810311751839
"HXC10_HUMAN.H10MO.D","HXC10_HUMAN.H10MO.D",510,1.7472095062289,1.56719852277017,1.94789684542365
"P5F1B_HUMAN.H10MO.D","P5F1B_HUMAN.H10MO.D",300,1.77778254695045,1.56418106116944,2.02055303104023
"PO4F3_HUMAN.H10MO.D","PO4F3_HUMAN.H10MO.D",337,1.76645126879247,1.56234784538999,1.99721854145716
"FOS_HUMAN.H10MO.A","FOS_HUMAN.H10MO.A",249,1.77666068716022,1.54848483352155,2.03845922734812
"HMX1_HUMAN.H10MO.D","HMX1_HUMAN.H10MO.D",343,1.74558204165328,1.54504945196962,1.97214183679239
"BHE22_HUMAN.H10MO.D","BHE22_HUMAN.H10MO.D",165,1.81586577227792,1.54239866346614,2.13781856859271
"JUN_HUMAN.H10MO.A","JUN_HUMAN.H10MO.A",254,1.76656395347062,1.54134287613973,2.02469434284317
"HNF1B_HUMAN.H10MO.B","HNF1B_HUMAN.H10MO.B",199,1.78668787290964,1.53683998449005,2.07715415229882
"PRRX2_HUMAN.H10MO.C","PRRX2_HUMAN.H10MO.C",117,1.85883288264002,1.53668994285644,2.24850803615012
"ALX4_HUMAN.H10MO.D","ALX4_HUMAN.H10MO.D",245,1.76292701977974,1.53516252080953,2.02448381519279
"GATA5_HUMAN.H10MO.D","GATA5_HUMAN.H10MO.D",204,1.78058560823695,1.53398132419592,2.06683422949915
"BARX1_HUMAN.H10MO.D","BARX1_HUMAN.H10MO.D",273,1.75011423710035,1.53275665724464,1.99829492073933
"HXD8_HUMAN.H10MO.D","HXD8_HUMAN.H10MO.D",245,1.75416259706909,1.52753505446357,2.01441296418351
"UNC4_HUMAN.H10MO.D","UNC4_HUMAN.H10MO.D",242,1.75228691201732,1.52486495687201,2.01362711379099
"HOMEZ_HUMAN.H10MO.D","HOMEZ_HUMAN.H10MO.D",95,1.8782681699276,1.52326777393126,2.31600207037688
"EMX1_HUMAN.H10MO.D","EMX1_HUMAN.H10MO.D",176,1.78513626792266,1.52315322034415,2.09218051899783
"BSH_HUMAN.H10MO.D","BSH_HUMAN.H10MO.D",187,1.77498321478946,1.52066559091895,2.07183317068444
"ALX3_HUMAN.H10MO.D","ALX3_HUMAN.H10MO.D",220,1.75530396390743,1.51916521510139,2.02814807440381
"ONEC2_HUMAN.H10MO.D","ONEC2_HUMAN.H10MO.D",427,1.7021040501189,1.5189839672083,1.90730005054352
"GBX2_HUMAN.H10MO.D","GBX2_HUMAN.H10MO.D",233,1.74379834329676,1.51425402667537,2.00813906287629
"PO2F3_HUMAN.H10MO.D","PO2F3_HUMAN.H10MO.D",178,1.77310689893419,1.51406158733849,2.07647304531025
"CEBPA_HUMAN.H10MO.A","CEBPA_HUMAN.H10MO.A",206,1.75430952007448,1.51227524823496,2.03508051580951
"PROP1_HUMAN.H10MO.D","PROP1_HUMAN.H10MO.D",300,1.70604039431954,1.50108975174123,1.9389738845887
"HXC6_HUMAN.H10MO.D","HXC6_HUMAN.H10MO.D",366,1.68720838042045,1.49734215825995,1.90115004994522
"HXA11_HUMAN.H10MO.D","HXA11_HUMAN.H10MO.D",339,1.6917561858037,1.4966879173926,1.91224834445853
"GATA6_HUMAN.H10MO.B","GATA6_HUMAN.H10MO.B",226,1.72465257651368,1.49501275281619,1.98956597799737
"AIRE_HUMAN.H10MO.C","AIRE_HUMAN.H10MO.C",201,1.73322333792927,1.49182430959846,2.0136842655093
"ZFHX3_HUMAN.H10MO.D","ZFHX3_HUMAN.H10MO.D",265,1.70154188033253,1.48796582938833,1.94577369543206
"NANOG_HUMAN.H10MO.A","NANOG_HUMAN.H10MO.A",385,1.67116655920655,1.48598451629935,1.87942582037486
"NR2E1_HUMAN.H10MO.D","NR2E1_HUMAN.H10MO.D",252,1.70191515769169,1.48433795999658,1.95138525190543
"GATA3_HUMAN.H10MO.C","GATA3_HUMAN.H10MO.C",245,1.6941091439477,1.47527072151933,1.94540957787836
"BPTF_HUMAN.H10MO.D","BPTF_HUMAN.H10MO.D",466,1.64603513638743,1.47292746889153,1.83948750189376
"FUBP1_HUMAN.H10MO.D","FUBP1_HUMAN.H10MO.D",493,1.64275437510134,1.47226849552563,1.83298219388383
"RAX2_HUMAN.H10MO.D","RAX2_HUMAN.H10MO.D",204,1.70688747067397,1.47053344061826,1.98122991090829
"DLX4_HUMAN.H10MO.D","DLX4_HUMAN.H10MO.D",250,1.67997950322562,1.46458695364948,1.92704920948904
"HXA10_HUMAN.H10MO.C","HXA10_HUMAN.H10MO.C",210,1.6893761219622,1.45805951596636,1.95739038784333
"TBP_HUMAN.H10MO.C","TBP_HUMAN.H10MO.C",198,1.6945568794665,1.45718229368643,1.97059971850383
"DLX6_HUMAN.H10MO.D","DLX6_HUMAN.H10MO.D",223,1.67872216472271,1.45408771425887,1.93805922345453
"HXD9_HUMAN.H10MO.D","HXD9_HUMAN.H10MO.D",256,1.66062494381778,1.44956840293102,1.90241122699267
"FOSL2_HUMAN.H10MO.A","FOSL2_HUMAN.H10MO.A",241,1.66432901772349,1.44803425162063,1.91293201534167
"HXD11_HUMAN.H10MO.D","HXD11_HUMAN.H10MO.D",342,1.63450695903332,1.4465979465821,1.84682482471416
"PHX2B_HUMAN.H10MO.D","PHX2B_HUMAN.H10MO.D",213,1.67395890693833,1.4460076600608,1.93784479813912
"FOXC2_HUMAN.H10MO.D","FOXC2_HUMAN.H10MO.D",301,1.63967028096017,1.4429461621751,1.86321478980986
"MNX1_HUMAN.H10MO.D","MNX1_HUMAN.H10MO.D",393,1.62099882167961,1.44248210590442,1.8216081635475
"GATA4_HUMAN.H10MO.B","GATA4_HUMAN.H10MO.B",208,1.6693015683552,1.43990099615301,1.93524953004269
"ZN333_HUMAN.H10MO.D","ZN333_HUMAN.H10MO.D",114,1.74303158576859,1.43778942604037,2.11307654233762
"HMX2_HUMAN.H10MO.D","HMX2_HUMAN.H10MO.D",190,1.67148072497945,1.43354812234043,1.94890410055893
"HXD4_HUMAN.H10MO.D","HXD4_HUMAN.H10MO.D",207,1.66228978956593,1.43343171608416,1.92768676281537
"GSX1_HUMAN.H10MO.D","GSX1_HUMAN.H10MO.D",256,1.63902299905643,1.43072220589832,1.87765058818614
"VSX1_HUMAN.H10MO.D","VSX1_HUMAN.H10MO.D",203,1.65996209345028,1.42969491274913,1.92731618971309
"FOSB_HUMAN.H10MO.C","FOSB_HUMAN.H10MO.C",245,1.63736711250979,1.42588629300124,1.88021378302589
"PITX3_HUMAN.H10MO.D","PITX3_HUMAN.H10MO.D",173,1.67245958686711,1.42540141755835,1.96233919459338
"DLX1_HUMAN.H10MO.D","DLX1_HUMAN.H10MO.D",335,1.61037937484179,1.42400428748322,1.82114741768037
"JUND_HUMAN.H10MO.A","JUND_HUMAN.H10MO.A",235,1.63710308126615,1.42234772984523,1.88428359848598
"DRGX_HUMAN.H10MO.D","DRGX_HUMAN.H10MO.D",214,1.64578064398085,1.42208411803369,1.9046650572592
"GSX2_HUMAN.H10MO.D","GSX2_HUMAN.H10MO.D",285,1.61725908914642,1.41950487561156,1.84256285861637
"PHX2A_HUMAN.H10MO.D","PHX2A_HUMAN.H10MO.D",209,1.64233098675705,1.41706853142119,1.90340199521424
"LHX8_HUMAN.H10MO.D","LHX8_HUMAN.H10MO.D",173,1.660134411948,1.41490481766963,1.94786690335338
"DUXA_HUMAN.H10MO.D","DUXA_HUMAN.H10MO.D",162,1.66066411794127,1.40882540743999,1.9575209944779
"MAFF_HUMAN.H10MO.A","MAFF_HUMAN.H10MO.A",242,1.61729430870998,1.40745866889201,1.85841399026289
"PAX7_HUMAN.H10MO.D","PAX7_HUMAN.H10MO.D",126,1.68408350492435,1.40115834783535,2.02413756870509
"HXC8_HUMAN.H10MO.D","HXC8_HUMAN.H10MO.D",166,1.64735356597772,1.39997392025283,1.93844594679979
"NR1D1_HUMAN.H10MO.C","NR1D1_HUMAN.H10MO.C",207,1.62039445483594,1.39732750900377,1.87907142194249
"MSX1_HUMAN.H10MO.D","MSX1_HUMAN.H10MO.D",259,1.59725180802104,1.39514012596931,1.8286430808905
"CUX2_HUMAN.H10MO.D","CUX2_HUMAN.H10MO.D",92,1.72399128815979,1.39389680487916,2.13225681502908
"LHX3_HUMAN.H10MO.C","LHX3_HUMAN.H10MO.C",233,1.60375877694893,1.39271863697914,1.84677805433808
"NKX22_HUMAN.H10MO.D","NKX22_HUMAN.H10MO.D",202,1.61633132074732,1.39171137075299,1.87720456506385
"ZN232_HUMAN.H10MO.D","ZN232_HUMAN.H10MO.D",176,1.62713449910054,1.38843742227267,1.90686784704311
"HXA9_HUMAN.H10MO.D","HXA9_HUMAN.H10MO.D",192,1.6162627493101,1.38716453963471,1.88319784723977
"ARI3A_HUMAN.H10MO.S","ARI3A_HUMAN.H10MO.S",218,1.5995042436375,1.38365617269058,1.84902425610507
"ERF_HUMAN.H10MO.D","ERF_HUMAN.H10MO.D",134,1.65105895868323,1.38063287115432,1.97445370308255
"VSX2_HUMAN.H10MO.D","VSX2_HUMAN.H10MO.D",130,1.65505593945759,1.38058060161271,1.98410013840125
"RORA_HUMAN.H10MO.B","RORA_HUMAN.H10MO.B",167,1.62108376669951,1.37825025390957,1.90670204572958
"PO6F1_HUMAN.H10MO.D","PO6F1_HUMAN.H10MO.D",169,1.61695907001682,1.37589594280663,1.90025753602874
"GBX1_HUMAN.H10MO.D","GBX1_HUMAN.H10MO.D",226,1.5854680268816,1.3744313059659,1.82890832983268
"MEF2C_HUMAN.H10MO.C","MEF2C_HUMAN.H10MO.C",404,1.54061625741469,1.37232867611576,1.72954081184719
"DLX3_HUMAN.H10MO.C","DLX3_HUMAN.H10MO.C",144,1.6264670791048,1.36780346718671,1.93404624485471
