motif;top.potential.TF;potential.TFs;top_5percent
AIRE_HUMAN.H10MO.C;NA;NA;"FOXA1;GATA3;ESR1;SPDEF;RARA;CXXC5;CREB3L4;MYB;LMX1B;PCGF2;RAB17;ZMYND8;SOX12;TTC8;ZNF467;CCND1;GTF3C1;PATZ1;STK36;ZNF446;MORF4L2;MTA3;H2AFY;TRIM62;PIGM;BBS4;OVOL2;ZNF213;PBX1;BCL2L1;ZNF174;ZNF396;GTF2IRD1;CSRNP2;SIGIRR;NLK;ZSCAN32;ZNF606;SREBF1;HOMEZ;HDAC11;NPAS1;CIB1;AR;WFS1;ZNF629;EMX1;NR2F6;GRHL2;SPOPL;ZNF91;MYT1;TFAP2A;RRN3;ANKRD30B;BHLHE40;ZNF263;BRD8;CREB3L1;ZNF239;ZNF281;NR2E3;USP7;ZNF681;TRERF1;IKBKB;MAPK9;ZNF444;ZNF92;ZNF468;TAF9B;LBX2;BTRC;ZNF500;TCEAL1;JUP;PRKCD;ZKSCAN2;KAT6B;FOXD2;MED25;FIZ1;YEATS4;TADA2B;ZNF138;ZSCAN16;TRAPPC9;DACH1;ZFPM1;MAZ;FOXJ1;ARNT2;COIL;SNAPC2;ZKSCAN1"
ALX1_HUMAN.H10MO.B;NA;NA;"FOXA1;GATA3;ESR1;SPDEF;RARA;CXXC5;CREB3L4;MYB;PCGF2;RAB17;GTF3C1;LMX1B;ZMYND8;ZNF467;STK36;SOX12;ZNF446;CCND1;PIGM;TTC8;PATZ1;MORF4L2;H2AFY;ZNF213;MTA3;GTF2IRD1;OVOL2;ZNF174;BCL2L1;BBS4;SIGIRR;TRIM62;PBX1;CSRNP2;HDAC11;NLK;ZNF396;SREBF1;NR2F6;GRHL2;ZSCAN32;ZNF606;CIB1;NPAS1;HOMEZ;ZNF629;WFS1;JUP;RRN3;ZNF263;TFAP2A;EMX1;ZNF444;LBX2;USP7;ZSCAN16;FIZ1;MED25;AR;TRERF1;ZNF500;ZNF239;BRD8;MYT1;ANKRD30B;BHLHE40;ZNF281;MAPK9;PRKCD;CREB3L1;ZFPM1;MAZ;ZNF91;ZNF468;TCEAL1;TRAPPC9;NR2E3;SPOPL;IKBKB;ELOB;SNAPC2;FOXJ1;TAF9B;E4F1;CDK5;OVOL1;ARNT2;YEATS4;ZNF681;MZF1;BTRC;FOXD2;ZKSCAN2;TRPS1;DACH1"
ALX3_HUMAN.H10MO.D;NA;NA;"FOXA1;GATA3;ESR1;SPDEF;RARA;CXXC5;CREB3L4;MYB;LMX1B;ZMYND8;PCGF2;RAB17;TTC8;GTF3C1;ZNF467;STK36;ZNF446;PATZ1;CCND1;MORF4L2;MTA3;SOX12;PIGM;BBS4;TRIM62;ZNF396;ZNF174;NLK;H2AFY;ZNF213;OVOL2;PBX1;BCL2L1;CSRNP2;NPAS1;GTF2IRD1;SIGIRR;ZNF606;HOMEZ;SREBF1;ZSCAN32;ZNF629;HDAC11;ANKRD30B;NR2F6;ZNF263;EMX1;WFS1;CIB1;ZNF500;AR;TFAP2A;MYT1;BRD8;RRN3;NR2E3;GRHL2;ZNF91;ZKSCAN2;TCEAL1;BHLHE40;TAF9B;ZNF444;ZNF281;SPOPL;TRERF1;JUP;IKBKB;USP7;CREB3L1;KAT6B;ZNF681;ZNF239;FIZ1;PRKCD;DACH1;ZNF92;BTRC;MAPK9;TADA2B;ZSCAN16;MED25;LBX2;ZFPM1;MZF1;SNAPC2;YEATS4;ZNF138;FOXJ1;ZNF24;ZKSCAN1;ARNT2;E4F1;ZNF468;TRAF5"
ALX4_HUMAN.H10MO.D;NA;NA;"FOXA1;GATA3;ESR1;RARA;SPDEF;CXXC5;CREB3L4;MYB;LMX1B;ZMYND8;PCGF2;RAB17;GTF3C1;TTC8;ZNF467;PATZ1;ZNF446;STK36;SOX12;CCND1;PIGM;MORF4L2;TRIM62;MTA3;BBS4;H2AFY;PBX1;OVOL2;ZNF174;ZNF396;ZNF213;NLK;CSRNP2;BCL2L1;GTF2IRD1;ZSCAN32;HDAC11;SIGIRR;HOMEZ;ZNF606;NPAS1;SREBF1;ZNF629;NR2F6;ZNF263;TFAP2A;MYT1;CIB1;AR;WFS1;ZNF500;BRD8;ANKRD30B;EMX1;ZNF91;GRHL2;RRN3;SPOPL;ZNF281;BHLHE40;USP7;ZNF444;ZNF239;JUP;NR2E3;TRERF1;MAPK9;PRKCD;CREB3L1;KAT6B;ZKSCAN2;LBX2;IKBKB;BTRC;TCEAL1;MED25;ZSCAN16;ZNF681;FIZ1;ZNF92;DACH1;TAF9B;TADA2B;ZFPM1;SNAPC2;ZNF138;YEATS4;ZNF468;ZKSCAN1;MZF1;ARNT2;FOXJ1;MAZ;ZNF24;OVOL1"
ANDR_HUMAN.H10MO.A;ESR1;"ESR1;AR";"FOXA1;GATA3;ESR1;SPDEF;RARA;CXXC5;CREB3L4;MYB;PCGF2;ZMYND8;GTF3C1;CCND1;LMX1B;RAB17;ZNF467;TTC8;MTA3;MORF4L2;PIGM;SOX12;STK36;PATZ1;BBS4;H2AFY;TRIM62;ZNF213;ZNF446;SREBF1;ZNF174;GTF2IRD1;PBX1;NLK;ZSCAN32;ZNF396;OVOL2;CSRNP2;HOMEZ;SIGIRR;ZNF606;BCL2L1;GRHL2;RRN3;HDAC11;CIB1;NR2F6;ZNF629;MYT1;NPAS1;USP7;EMX1;ZKSCAN2;WFS1;MAPK9;TFAP2A;TAF9B;ZNF263;ZNF281;SPOPL;ZNF681;ZNF91;CREB3L1;ANKRD30B;ZNF239;BRD8;ZSCAN16;AR;TRERF1;LBX2;NR2E3;PRKCD;ARNT2;KAT6B;ZNF468;YEATS4;HNRNPK;TRAPPC9;ZNF92;OVOL1;FOXJ1;MAZ;ZNF138;FOXD2;TCEAL1;BTRC;ZKSCAN1;TRIM37;BHLHE40;JUP;DACH1;TULP4;ZFP30;TADA2B;ZNF500;ZNF24;MED25"
ARI3A_HUMAN.H10MO.D;NA;NA;"FOXA1;GATA3;ESR1;RARA;SPDEF;CXXC5;CREB3L4;MYB;PCGF2;GTF3C1;RAB17;LMX1B;ZMYND8;ZNF467;SOX12;TTC8;PATZ1;CCND1;ZNF446;MORF4L2;PIGM;ZNF213;ZNF174;MTA3;STK36;H2AFY;TRIM62;OVOL2;PBX1;BBS4;ZSCAN32;BCL2L1;GTF2IRD1;NLK;SIGIRR;CSRNP2;ZNF396;HDAC11;ZNF606;HOMEZ;NPAS1;SREBF1;ZNF629;ZNF263;CIB1;WFS1;NR2F6;CREB3L1;RRN3;AR;GRHL2;ZNF239;MYT1;USP7;TFAP2A;ANKRD30B;EMX1;ZNF500;ZNF281;ZNF91;ZSCAN16;BRD8;TRERF1;ZNF444;PRKCD;SPOPL;ZNF468;MAPK9;TCEAL1;LBX2;ZKSCAN2;FIZ1;MED25;JUP;BHLHE40;TAF9B;ZFPM1;NR2E3;TRAPPC9;ZNF681;IKBKB;KAT6B;YEATS4;E4F1;MAZ;ZNF92;FOXD2;TADA2B;DACH1;BTRC;SNAPC2;ELOB;TRAF5;AKT1;ZNF138"
ARI3A_HUMAN.H10MO.S;NA;NA;"FOXA1;GATA3;ESR1;RARA;CXXC5;SPDEF;CREB3L4;MYB;PCGF2;GTF3C1;SOX12;ZMYND8;LMX1B;CCND1;ZNF467;RAB17;TTC8;PIGM;MORF4L2;STK36;H2AFY;PATZ1;MTA3;ZNF446;ZNF213;BBS4;ZNF174;TRIM62;GTF2IRD1;PBX1;NLK;ZSCAN32;BCL2L1;CSRNP2;OVOL2;ZNF396;SIGIRR;GRHL2;SREBF1;ZNF629;ZNF606;RRN3;HOMEZ;HDAC11;MYT1;USP7;NR2F6;WFS1;ZNF263;CIB1;NPAS1;ZNF239;AR;ZNF281;ANKRD30B;CREB3L1;SPOPL;PRKCD;EMX1;BRD8;ZNF468;TFAP2A;ZKSCAN2;TRERF1;ZNF500;ZSCAN16;ZNF681;ZNF91;ZNF444;TAF9B;MAPK9;TRAPPC9;LBX2;MAZ;FIZ1;JUP;MED25;TRIM37;BHLHE40;YEATS4;ZSCAN22;KAT6B;TCEAL1;ZNF92;FOXJ1;TULP4;COIL;ARNT2;ZFPM1;HNRNPK;BTRC;ADNP;ELOB;TRPS1;NR2E3"
ARI5B_HUMAN.H10MO.C;NA;NA;"FOXA1;GATA3;ESR1;SPDEF;RARA;CXXC5;CREB3L4;MYB;PCGF2;GTF3C1;SOX12;ZNF467;LMX1B;RAB17;ZMYND8;MORF4L2;PIGM;CCND1;PATZ1;H2AFY;TTC8;STK36;ZNF446;TRIM62;MTA3;ZNF174;ZNF213;BBS4;OVOL2;NLK;BCL2L1;SIGIRR;PBX1;ZNF396;ZSCAN32;HDAC11;GTF2IRD1;CSRNP2;CIB1;ZNF606;SREBF1;HOMEZ;NR2F6;NPAS1;ZNF629;ZNF263;WFS1;RRN3;AR;ZNF239;MYT1;GRHL2;ZNF281;USP7;EMX1;TFAP2A;CREB3L1;ZNF500;ANKRD30B;TAF9B;ZNF91;ZNF444;MAPK9;BRD8;PRKCD;SPOPL;MED25;LBX2;ZSCAN16;TRERF1;ZKSCAN2;TCEAL1;JUP;FIZ1;BHLHE40;ZNF681;MAZ;ZFPM1;ZNF468;IKBKB;FOXD2;NR2E3;TRAPPC9;DACH1;YEATS4;TRAF5;E4F1;KAT6B;SNAPC2;ZNF92;ARNT2;TADA2B;ELOB;HNRNPK;TRIM37"
ARX_HUMAN.H10MO.D;NA;NA;"FOXA1;GATA3;ESR1;RARA;CXXC5;SPDEF;CREB3L4;MYB;PCGF2;ZMYND8;LMX1B;GTF3C1;RAB17;ZNF467;SOX12;TTC8;STK36;CCND1;ZNF213;ZNF446;MORF4L2;GTF2IRD1;PATZ1;H2AFY;MTA3;PIGM;ZNF174;OVOL2;NLK;TRIM62;BBS4;CSRNP2;SIGIRR;BCL2L1;ZNF396;HDAC11;PBX1;SREBF1;ZSCAN32;NR2F6;ZNF629;NPAS1;GRHL2;ZNF606;HOMEZ;CIB1;RRN3;ZNF263;EMX1;TFAP2A;WFS1;ZNF500;ZNF239;MYT1;ZNF444;USP7;JUP;MED25;FIZ1;LBX2;PRKCD;TRERF1;AR;ZSCAN16;ZKSCAN2;BRD8;ZFPM1;OVOL1;SNAPC2;TRAPPC9;ZNF91;MAZ;FOXJ1;IKBKB;ZNF681;CREB3L1;SPOPL;ANKRD30B;MAPK9;E4F1;ZNF281;BHLHE40;CDK5;NR2E3;ELOB;TCEAL1;TAF9B;ZNF138;FOXD2;YEATS4;ARNT2;DACH1;MZF1;ZNF468;ZNF92"
BARH1_HUMAN.H10MO.D;EMX1;"EMX1;LBX2";"FOXA1;GATA3;ESR1;SPDEF;RARA;CXXC5;CREB3L4;MYB;PCGF2;LMX1B;RAB17;ZNF467;ZMYND8;TTC8;GTF3C1;SOX12;ZNF446;MORF4L2;MTA3;CCND1;PATZ1;STK36;PIGM;ZNF174;H2AFY;TRIM62;BBS4;ZNF213;OVOL2;ZNF396;PBX1;BCL2L1;NLK;ZSCAN32;ZNF606;CSRNP2;NPAS1;HDAC11;SIGIRR;HOMEZ;GTF2IRD1;AR;ZNF629;ANKRD30B;SREBF1;CIB1;ZNF263;MYT1;ZNF281;WFS1;ZNF91;NR2F6;ZNF500;SPOPL;RRN3;BRD8;TAF9B;EMX1;TRERF1;CREB3L1;TFAP2A;GRHL2;ZKSCAN2;BHLHE40;NR2E3;ZNF239;TCEAL1;ZNF444;ZNF681;DACH1;USP7;BTRC;LBX2;MAPK9;ZFPM1;PRKCD;KAT6B;ZNF92;IKBKB;ZSCAN16;JUP;MED25;FIZ1;FOXD2;TADA2B;ZNF138;ZNF468;SNAPC2;E4F1;YEATS4;FOXJ1;ZNF24;KIAA1958;ZKSCAN1;ARNT2"
