motif,top.potential.TF.family,top.potential.TF.subfamily,potential.TF.family,potential.TF.subfamily,top_5percent_TFs
AIRE_HUMAN.H10MO.C,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPD\ldots
ALX1_HUMAN.H10MO.B,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPD\ldots
ALX3_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPD\ldots
ALX4_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RAR\ldots
ANDR_HUMAN.H10MO.A,ESR1,AR,ESR1;AR,AR,FOXA1;GATA3;ESR1;SPD\ldots
ARI3A_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RAR\ldots
ARI3A_HUMAN.H10MO.S,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RAR\ldots
ARI5B_HUMAN.H10MO.C,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPD\ldots
ARX_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RAR\ldots
BARH1_HUMAN.H10MO.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;SPD\ldots
BARH2_HUMAN.H10MO.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;CXX\ldots
BARX1_HUMAN.H10MO.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;RAR\ldots
BARX2_HUMAN.H10MO.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;CXX\ldots
BATF3_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPD\ldots
BATF_HUMAN.H10MO.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
BATF_HUMAN.H10MO.S,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
BCL6_HUMAN.H10MO.C,ZSCAN16,NA,ZSCAN16;OVOL1,NA,FOXA1;GATA3;ESR1;RAR\ldots
BHE22_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPD\ldots
BPTF_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RAR\ldots
BRAC_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RAR\ldots
BRCA1_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
BSH_HUMAN.H10MO.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;SPD\ldots
CDC5L_HUMAN.H10MO.D,MYB,MYB,MYB,MYB,FOXA1;GATA3;ESR1;RAR\ldots
CDX1_HUMAN.H10MO.C,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
CDX2_HUMAN.H10MO.C,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
CEBPA_HUMAN.H10MO.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
CEBPB_HUMAN.H10MO.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RAR\ldots
CEBPD_HUMAN.H10MO.B,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
CEBPE_HUMAN.H10MO.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
CEBPG_HUMAN.H10MO.C,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
CPEB1_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RAR\ldots
CUX2_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPD\ldots
DLX1_HUMAN.H10MO.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;SPD\ldots
DLX2_HUMAN.H10MO.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;SPD\ldots
DLX3_HUMAN.H10MO.C,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;SPD\ldots
DLX4_HUMAN.H10MO.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;SPD\ldots
DLX5_HUMAN.H10MO.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;RAR\ldots
DLX6_HUMAN.H10MO.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;SPD\ldots
DMBX1_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
DPRX_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
DRGX_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RAR\ldots
DUXA_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPD\ldots
EMX1_HUMAN.H10MO.D,EMX1,EMX1,EMX1;LBX2,EMX1,FOXA1;GATA3;ESR1;CXX\ldots
EMX2_HUMAN.H10MO.D,EMX1,EMX1,EMX1;LBX2,EMX1,FOXA1;GATA3;ESR1;CXX\ldots
EOMES_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RAR\ldots
ERF_HUMAN.H10MO.D,SPDEF,NA,SPDEF,NA,FOXA1;GATA3;ESR1;SPD\ldots
ESX1_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
ETV2_HUMAN.H10MO.D,SPDEF,NA,SPDEF,NA,FOXA1;GATA3;ESR1;SPD\ldots
ETV3_HUMAN.H10MO.D,SPDEF,NA,SPDEF,NA,FOXA1;GATA3;ESR1;SPD\ldots
EVI1_HUMAN.H10MO.B,E4F1,NA,E4F1,NA,FOXA1;GATA3;ESR1;SPD\ldots
EVX1_HUMAN.H10MO.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPD\ldots
EVX2_HUMAN.H10MO.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
FOSB_HUMAN.H10MO.C,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RAR\ldots
FOSL1_HUMAN.H10MO.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
FOSL2_HUMAN.H10MO.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
FOS_HUMAN.H10MO.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXX\ldots
FOXA1_HUMAN.H10MO.A,FOXA1,FOXA1,FOXA1,FOXA1,FOXA1;GATA3;ESR1;SPD\ldots
FOXA2_HUMAN.H10MO.A,FOXA1,FOXA1,FOXA1,FOXA1,FOXA1;GATA3;ESR1;SPD\ldots
