motif,top.potential.TF.family,top.potential.TF.subfamily
LHX2_HUMAN.H11MO.0.A,NA,NA
PO6F2_HUMAN.H11MO.0.D,NA,NA
RX_HUMAN.H11MO.0.D,NA,NA
GBX2_HUMAN.H11MO.0.D,HOXD13,NA
JUNB_HUMAN.H11MO.0.A,NA,NA
NOTO_HUMAN.H11MO.0.D,HMX3,NA
DLX3_HUMAN.H11MO.0.C,HMX3,NA
SOX10_HUMAN.H11MO.0.B,SOX11,NA
LBX2_HUMAN.H11MO.0.D,HMX3,NA
MIXL1_HUMAN.H11MO.0.D,NA,NA
SIX2_HUMAN.H11MO.0.A,NA,NA
BATF_HUMAN.H11MO.1.A,NA,NA
EVX1_HUMAN.H11MO.0.D,HOXD13,NA
ZBT49_HUMAN.H11MO.0.D,ZSCAN16,ZSCAN16
SIX1_HUMAN.H11MO.0.A,NA,NA
SOX4_HUMAN.H11MO.0.B,SOX11,SOX11
DLX2_HUMAN.H11MO.0.D,HMX3,NA
HXB3_HUMAN.H11MO.0.D,HOXD13,HOXD3
DLX5_HUMAN.H11MO.0.D,HMX3,NA
HXD3_HUMAN.H11MO.0.D,HOXD13,HOXD3
SOX9_HUMAN.H11MO.0.B,SOX11,NA
FOXQ1_HUMAN.H11MO.0.C,FOXM1,NA
VAX2_HUMAN.H11MO.0.D,HMX3,NA
LHX9_HUMAN.H11MO.0.D,NA,NA
EMX2_HUMAN.H11MO.0.D,HMX3,NA
PAX4_HUMAN.H11MO.0.D,PAX3,NA
GBX1_HUMAN.H11MO.0.D,HOXD13,NA
