motif,top.potential.TF.family,top.potential.TF.subfamily,potential.TF.family,potential.TF.subfamily,top_5percent_TFs
AIRE.C,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
ANDR.A,ESR1,AR,ESR1;AR,AR,FOXA1;GATA3;ESR1;RARA;SPDEF;\ldots
ANDR2.A,ESR1,AR,ESR1;AR,AR,FOXA1;GATA3;ESR1;RARA;SPDEF;\ldots
BSH.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
CDC5L.D,MYB,MYB,MYB,MYB,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
DLX2.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
EMX1.D,EMX1,EMX1,EMX1;LBX2,EMX1,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
EMX2.D,EMX1,EMX1,EMX1;LBX2,EMX1,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
ERR3.B,ESR1,ESR1,ESR1;AR,ESR1,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
EVI1.B,ZNF467,NA,ZNF467;PATZ1,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
EVX1.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXXC5;SPDEF;\ldots
FOSB.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RARA;CXXC5;\ldots
FOSL1.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXXC5;RARA;\ldots
FOSL2.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXXC5;RARA;\ldots
FOS.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXXC5;RARA;\ldots
FOXA1.A,FOXA1,FOXA1,FOXA1,FOXA1,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXA2.A,FOXA1,FOXA1,FOXA1,FOXA1,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
