Probe,GeneID,Symbol,Distance,Sides,Raw.p,Pe
cg05120309,ENSG00000196405,EVL,0,L3,3.0400667070697454e-56,9.999000099990002e-5
cg25343204,ENSG00000106541,AGR2,0,R1,3.9996270088182864e-56,9.999000099990002e-5
cg14058239,ENSG00000141424,SLC39A6,0,R1,5.171203145373012e-56,9.999000099990002e-5
cg14986386,ENSG00000183323,CCDC125,0,L2,3.262366456595622e-55,9.999000099990002e-5
cg04723436,ENSG00000107485,GATA3,110455,R3,6.009821543751948e-55,1.9998000199980003e-4
cg08815672,ENSG00000075275,CELSR1,0,L2,1.930039871963116e-54,9.999000099990002e-5
cg12633764,ENSG00000279685,MAPT-IT1,2591,L1,4.4375979865162555e-54,9.999000099990002e-5
cg02711212,ENSG00000245750,DRAIC,0,R1,2.3917067344548097e-53,1.9998000199980003e-4
cg08070476,ENSG00000106537,TSPAN13,63251,L2,2.5570576977568843e-53,9.999000099990002e-5
cg12633764,ENSG00000186868,MAPT,0,L2,4.216406114709493e-53,9.999000099990002e-5
cg00601836,ENSG00000091831,ESR1,0,R2,5.412174303756378e-53,2.9997000299970003e-4
cg02187712,ENSG00000124664,SPDEF,11491,L1,1.2211724580157716e-52,1.9998000199980003e-4
cg25417042,ENSG00000138166,DUSP5,0,R2,1.3488610468980214e-52,9.999000099990002e-5
cg25999891,ENSG00000072310,SREBF1,0,L3,4.4342688602180484e-52,9.999000099990002e-5
cg16013309,ENSG00000171604,CXXC5,10507,L1,5.9651845477366525e-52,9.999000099990002e-5
cg23005227,ENSG00000114737,CISH,0,R1,6.80481431762752e-52,9.999000099990002e-5
cg14058239,ENSG00000134759,ELP2,3177,R2,9.770742850347005e-52,9.999000099990002e-5
cg02546690,ENSG00000187486,KCNJ11,423601,L8,1.679290623879383e-51,3.9996000399960006e-4
cg00836101,ENSG00000276107,CTD-2033D15.2,2512,R2,2.2923151297421806e-51,9.999000099990002e-5
cg13720048,ENSG00000081923,ATP8B1,0,L2,2.3303036303621173e-51,9.999000099990002e-5
cg26703758,ENSG00000187486,KCNJ11,380882,L8,3.8058376227776956e-51,3.9996000399960006e-4
cg02009766,ENSG00000245750,DRAIC,520452,L8,6.209022590559974e-51,1.9998000199980003e-4
cg00067884,ENSG00000074410,CA12,295837,L7,1.1156364508471851e-50,1.9998000199980003e-4
cg10451565,ENSG00000134830,C5AR2,0,R1,1.3780366163479982e-50,1.9998000199980003e-4
cg05707211,ENSG00000183779,ZNF703,223263,R9,1.4235301831214275e-50,9.999000099990002e-5
cg12840933,ENSG00000249042,CTD-2015H6.3,79108,L2,2.0674672122863203e-50,1.9998000199980003e-4
cg11180129,ENSG00000100583,SAMD15,289726,L9,2.679327030313679e-50,1.9998000199980003e-4
cg26871347,ENSG00000153944,MSI2,0,L2,2.858591938667898e-50,9.999000099990002e-5
cg18166959,ENSG00000135775,COG2,50355,L2,3.887242860101095e-50,9.999000099990002e-5
cg19308497,ENSG00000132681,ATP1A4,0,R1,4.351452521368054e-50,9.999000099990002e-5
